I0127 20:09:51.294703 19559 convert_annoset.cpp:122] A total of 117266 images.
I0127 20:09:51.295359 19559 db_lmdb.cpp:35] Opened lmdb /home/zhangkj/data/coco/lmdb/coco_train_lmdb
I0127 20:09:59.448314 19559 convert_annoset.cpp:195] Processed 1000 files.
I0127 20:10:07.539722 19559 convert_annoset.cpp:195] Processed 2000 files.
I0127 20:10:15.829027 19559 convert_annoset.cpp:195] Processed 3000 files.
I0127 20:10:24.450925 19559 convert_annoset.cpp:195] Processed 4000 files.
I0127 20:10:33.080222 19559 convert_annoset.cpp:195] Processed 5000 files.
I0127 20:10:42.024734 19559 convert_annoset.cpp:195] Processed 6000 files.
I0127 20:10:50.502719 19559 convert_annoset.cpp:195] Processed 7000 files.
I0127 20:10:58.490002 19559 convert_annoset.cpp:195] Processed 8000 files.
I0127 20:11:06.618297 19559 convert_annoset.cpp:195] Processed 9000 files.
I0127 20:11:14.897065 19559 convert_annoset.cpp:195] Processed 10000 files.
I0127 20:11:22.845425 19559 convert_annoset.cpp:195] Processed 11000 files.
I0127 20:11:30.851075 19559 convert_annoset.cpp:195] Processed 12000 files.
I0127 20:11:38.900097 19559 convert_annoset.cpp:195] Processed 13000 files.
I0127 20:11:47.472208 19559 convert_annoset.cpp:195] Processed 14000 files.
I0127 20:11:56.078526 19559 convert_annoset.cpp:195] Processed 15000 files.
I0127 20:12:04.749261 19559 convert_annoset.cpp:195] Processed 16000 files.
I0127 20:12:13.005795 19559 convert_annoset.cpp:195] Processed 17000 files.
I0127 20:12:21.618190 19559 convert_annoset.cpp:195] Processed 18000 files.
I0127 20:12:29.926043 19559 convert_annoset.cpp:195] Processed 19000 files.
I0127 20:12:38.126360 19559 convert_annoset.cpp:195] Processed 20000 files.
I0127 20:12:46.813851 19559 convert_annoset.cpp:195] Processed 21000 files.
I0127 20:12:55.723598 19559 convert_annoset.cpp:195] Processed 22000 files.
I0127 20:13:04.391973 19559 convert_annoset.cpp:195] Processed 23000 files.
I0127 20:13:13.102246 19559 convert_annoset.cpp:195] Processed 24000 files.
I0127 20:13:21.399792 19559 convert_annoset.cpp:195] Processed 25000 files.
I0127 20:13:30.117893 19559 convert_annoset.cpp:195] Processed 26000 files.
I0127 20:13:38.358638 19559 convert_annoset.cpp:195] Processed 27000 files.
I0127 20:13:46.702067 19559 convert_annoset.cpp:195] Processed 28000 files.
I0127 20:13:55.339614 19559 convert_annoset.cpp:195] Processed 29000 files.
I0127 20:14:03.915123 19559 convert_annoset.cpp:195] Processed 30000 files.
I0127 20:14:12.133141 19559 convert_annoset.cpp:195] Processed 31000 files.
I0127 20:14:20.331284 19559 convert_annoset.cpp:195] Processed 32000 files.
I0127 20:14:27.947746 19559 convert_annoset.cpp:195] Processed 33000 files.
I0127 20:14:36.359766 19559 convert_annoset.cpp:195] Processed 34000 files.
I0127 20:14:44.654764 19559 convert_annoset.cpp:195] Processed 35000 files.
I0127 20:14:52.967248 19559 convert_annoset.cpp:195] Processed 36000 files.
I0127 20:15:01.326779 19559 convert_annoset.cpp:195] Processed 37000 files.
I0127 20:15:09.491037 19559 convert_annoset.cpp:195] Processed 38000 files.
I0127 20:15:17.857204 19559 convert_annoset.cpp:195] Processed 39000 files.
I0127 20:15:26.230125 19559 convert_annoset.cpp:195] Processed 40000 files.
I0127 20:15:34.436547 19559 convert_annoset.cpp:195] Processed 41000 files.
I0127 20:15:42.244174 19559 convert_annoset.cpp:195] Processed 42000 files.
I0127 20:15:50.331745 19559 convert_annoset.cpp:195] Processed 43000 files.
I0127 20:15:58.348197 19559 convert_annoset.cpp:195] Processed 44000 files.
I0127 20:16:06.249224 19559 convert_annoset.cpp:195] Processed 45000 files.
I0127 20:16:14.027679 19559 convert_annoset.cpp:195] Processed 46000 files.
I0127 20:16:21.708664 19559 convert_annoset.cpp:195] Processed 47000 files.
I0127 20:16:29.345935 19559 convert_annoset.cpp:195] Processed 48000 files.
I0127 20:16:36.836694 19559 convert_annoset.cpp:195] Processed 49000 files.
I0127 20:16:44.983937 19559 convert_annoset.cpp:195] Processed 50000 files.
I0127 20:16:53.006450 19559 convert_annoset.cpp:195] Processed 51000 files.
I0127 20:17:00.798983 19559 convert_annoset.cpp:195] Processed 52000 files.
I0127 20:17:09.000226 19559 convert_annoset.cpp:195] Processed 53000 files.
I0127 20:17:17.472614 19559 convert_annoset.cpp:195] Processed 54000 files.
I0127 20:17:25.309213 19559 convert_annoset.cpp:195] Processed 55000 files.
I0127 20:17:33.128821 19559 convert_annoset.cpp:195] Processed 56000 files.
I0127 20:17:40.758163 19559 convert_annoset.cpp:195] Processed 57000 files.
I0127 20:17:48.885736 19559 convert_annoset.cpp:195] Processed 58000 files.
I0127 20:17:56.979485 19559 convert_annoset.cpp:195] Processed 59000 files.
I0127 20:18:04.990988 19559 convert_annoset.cpp:195] Processed 60000 files.
I0127 20:18:12.783249 19559 convert_annoset.cpp:195] Processed 61000 files.
I0127 20:18:20.379437 19559 convert_annoset.cpp:195] Processed 62000 files.
I0127 20:18:28.005472 19559 convert_annoset.cpp:195] Processed 63000 files.
I0127 20:18:36.009742 19559 convert_annoset.cpp:195] Processed 64000 files.
I0127 20:18:44.601996 19559 convert_annoset.cpp:195] Processed 65000 files.
I0127 20:18:52.799373 19559 convert_annoset.cpp:195] Processed 66000 files.
